gene,p-value,parental difference (B6-DBA)
Affy_10338175,0.71926228,0.133
Affy_10338176,0.41249251,-0.195
Affy_10338177,0.51660041,-0.456
Affy_10338178,0.36713634,0.744
Affy_10338179,0.45287358,0.141
Hb1bp3,0.34871904,0.162
Affy_10338181,0.81033749,0.09
Affy_10338182,0.28822101,-0.487
Affy_10338183,0.44099598,0.662
Affy_10338184,0.83107466,-0.11
Affy_10338185,0.10496398,0.93
Affy_10338186,0.9103102,-0.056
Affy_10338187,0.68576372,0.147
Affy_10338188,0.77773651,0.119
Affy_10338189,0.97492723,0.011
Affy_10338190,0.28239497,0.432
Affy_10338191,0.66523606,-0.196
Affy_10338192,0.75003777,0.274
Affy_10338193,0.64513071,0.231
Affy_10338194,0.79848154,-0.118
Affy_10338195,0.25361286,0.383
Affy_10338196,0.51277703,0.251
Affy_10338197,0.89622465,-0.052
Affy_10338198,0.028329911,1.781
Affy_10338199,0.70512751,-0.196
Affy_10338200,0.68343792,-0.323
Affy_10338201,0.22076984,0.817
Affy_10338202,0.54792051,-0.28
Affy_10338203,0.86576835,0.061
Affy_10338204,0.9337856,-0.054
Affy_10338205,0.32593485,0.524
Affy_10338206,0.33728856,0.309
Affy_10338207,0.50039405,0.125
Affy_10338208,0.31654525,-0.545
Affy_10338209,0.50387518,-0.195
Affy_10338210,0.86196954,0.084
Affy_10338211,0.68101528,-0.207
Affy_10338212,0.93231156,-0.032
Affy_10338213,0.24418371,-0.344
Affy_10338214,0.11676003,-0.561
Affy_10338215,0.27348387,0.451
Affy_10338216,0.78319086,-0.135
Affy_10338217,0.87040586,0.057
Affy_10338218,0.6927194,-0.19
Affy_10338219,0.87424141,-0.069
Affy_10338220,0.36066197,-0.547
Aup1,0.31551548,-0.242
Affy_10338222,0.99183477,0.004
Affy_10338223,0.46609258,0.477
Affy_10338224,0.46362252,-0.205
Affy_10338225,0.19051884,-0.711
Affy_10338226,0.33124375,-0.462
Affy_10338227,0.987058,-0.008
Affy_10338228,0.30224435,0.34
Affy_10338229,0.38880261,0.258
Affy_10338230,0.86084676,0.085
Affy_10338231,0.86233177,0.11
Affy_10338232,0.92578333,-0.053
Affy_10338233,0.93918951,0.031
Affy_10338234,0.070049261,1.273
Affy_10338235,0.55507441,0.376
Affy_10338236,0.81676901,-0.126
Affy_10338237,0.60272486,0.226
Affy_10338238,0.24335463,0.469
Affy_10338239,0.39113103,-0.406
Affy_10338240,0.77350725,-0.114
Affy_10338241,0.91056803,0.058
Affy_10338242,0.007010802,2.366
Affy_10338243,0.50724257,0.47
Affy_10338244,0.98846534,0.003
Affy_10338245,0.93145819,-0.019
Affy_10338246,0.81955294,-0.124
Affy_10338247,0.6253169,0.154
Affy_10338248,0.26776809,0.495
Affy_10338249,1,0
Affy_10338250,0.87658053,0.09
Affy_10338251,0.93294857,-0.049
Affy_10338252,0.31251246,0.465
Affy_10338253,0.65719441,0.21
Affy_10338254,0.66479376,0.172
Affy_10338255,0.1554795,0.58
Affy_10338256,0.77900003,0.237
Affy_10338257,0.78738201,0.107
Affy_10338258,0.77701614,-0.112
Affy_10338259,0.61259246,0.22
Affy_10338260,0.68132225,-0.25
Affy_10338261,0.29068257,0.418
Affy_10338262,0.55124648,0.216
Affy_10338263,0.64255036,0.342
Affy_10338264,0.20454473,0.68
Affy_10338265,0.84203474,0.069
Affy_10338266,0.28525692,0.444
Affy_10338267,0.45874738,0.279
Affy_10338268,0.62352818,-0.253
Affy_10338269,0.76108821,0.15
Affy_10338270,0.6366475,0.129
Affy_10338271,0.52822141,-0.456
Affy_10338272,0.99618517,0.002
Affy_10338273,0.91704607,0.047
Affy_10338274,0.9665108,-0.018
Affy_10338275,0.97021967,0.02
Affy_10338276,0.3932691,-0.473
Affy_10338277,0.55336263,-0.225
Affy_10338278,0.96419458,-0.016
Affy_10338279,0.51344167,-0.294
Affy_10338280,0.56008236,0.256
Affy_10338281,0.72364866,0.163
Affy_10338282,0.091740562,-0.63
Affy_10338283,0.43398112,-0.189
Affy_10338284,0.71288162,0.15
Affy_10338285,0.044925574,0.918
