gene,p-value,parental difference (B6-DBA)
Gigyf2,0.34716518,-0.123
Neu2,0.7330723,0.084
3110079O15Rik,0.15868335,-0.302
Inpp5d,0.20328742,0.519
Atg16l1,0.69879184,-0.069
5830472F04Rik,0.30260938,0.334
Sag,0.55577843,-0.103
Dgkd,0.07604406,0.293
Ugt1a9,0.57112802,-0.152
Heatr7b1,0.066415311,0.441
Trpm8,0.64980995,-0.094
Spp2,0.33585197,-0.265
Affy_10348420,0.10162144,-0.393
Sh3bp4,0.20148928,-0.237
Agap1,0.35233079,0.128
Cxcr7,0.59706513,-0.089
Cops8,0.81466272,0.033
Gm9991,0.8195636,-0.04
Mlph,0.78824207,0.046
Prlh,0.68417926,-0.104
Lrrfip1,0.3680964,0.15
Rbm44,0.48517124,-0.152
Ramp1,0.19281998,-0.203
Ube2f,0.95146206,-0.01
Ube2f,0.91891328,0.04
Scly,0.46204365,0.138
Espnl,0.26478596,-0.233
Klhl30,0.040557673,-0.428
Fam132b,0.051910611,-0.369
Traf3ip1,0.015516119,-0.393
Asb1,0.076583213,-0.223
Twist2,0.90613795,0.027
Olfr1413,0.099141069,-0.286
Olfr1412,0.67441462,-0.114
Olfr1411,0.30147483,0.198
Olfr1410,0.30454969,-0.254
Olfr12,0.43673934,-0.158
Gpr35,0.75147598,0.054
Gpc1,0.70071018,-0.178
Mir149,0.23281382,-0.367
Dusp28,0.62782417,0.107
Rnpepl1,0.77840249,0.048
Capn10,0.63237353,-0.105
Aqp12,0.14112102,-0.378
Agxt,0.79523781,0.085
E030010N08Rik,0.94902297,-0.022
Sned1,0.60048227,-0.106
Ppp1r7,0.62174996,0.076
Affy_10348789,0.3450181,0.234
Ano7,0.59761928,-0.128
02-Sep,0.52140514,-0.108
Farp2,0.95473804,0.01
Bok,0.49721944,-0.131
Thap4,0.75287851,0.072
Atg4b,0.85297878,-0.042
Ing5,0.81989062,0.038
D2hgdh,0.6182274,-0.133
Gal3st2,0.23098961,0.352
Gal3st2,0.83025239,0.062
Gm6086,0.21463755,-0.321
Neu4,0.097123325,-0.317
Fam174a,0.89401196,-0.028
Gm15427,0.24186534,-0.155
Affy_10348927,0.86472791,0.035
Hnrnpf,0.56063694,-0.06
Gin1,0.96066882,0.011
Affy_10348943,0.28780326,0.164
Affy_10348945,0.50513708,-0.162
Slco6d1,0.6443946,-0.084
Cntnap5b,0.034893711,-0.348
Affy_10348983,0.35193754,-0.132
Affy_10348992,0.43612487,-0.123
Affy_10348994,0.39201491,-0.154
Affy_10348996,0.80919862,0.05
Cdh20,0.072772517,-0.344
Capza1,0.60120544,0.106
2310035C23Rik,0.65800664,0.098
Zfp706,0.88188996,-0.036
Tnfrsf11a,0.95560191,0.012
Zcchc2,0.55215597,-0.112
Phlpp1,0.7312329,0.079
Gm6651,0.3584702,-0.335
Bcl2,0.28373174,-0.226
Serpinb5,0.62137265,-0.088
Serpinb12,0.41034903,0.179
Serpinb13,0.89128517,0.022
Serpinb11,0.49825247,0.111
Serpinb7,0.78764725,-0.053
Serpinb2,0.53080226,-0.119
Serpinb10-ps,0.91070967,-0.023
Serpinb8,0.55642442,-0.411
Cdh7,0.24985497,-0.162
Affy_10349206,0.57389714,-0.116
Cntnap5a,0.727896,-0.048
Affy_10349233,0.77450389,-0.041
Affy_10349237,0.32939876,0.165
Mki67ip,0.79219029,-0.049
Clasp1,0.36940478,0.132
Tcfcp2l1,0.6475847,0.144
Affy_10349314,0.21944079,-0.264
Tmem185b,0.41552838,-0.111
Sctr,0.12362963,-0.361
3110009E18Rik,0.067898142,-0.369
C1ql2,0.56576746,-0.149
En1,0.55845649,-0.143
Ccdc93,0.74770214,0.04
Affy_10349376,0.52245095,-0.115
Dpp10,0.90873904,-0.027
Slc35f5,0.23086497,-0.226
Gpr39,0.69069346,0.119
Mgat5,0.90412382,0.039
Affy_10349427,0.72614719,0.092
Affy_10349429,0.16018619,-0.218
Acmsd,0.32337861,0.604
Ccnt2,0.52088766,0.11
Rab3gap1,0.29425441,0.153
Rpl28,0.55075934,-0.134
R3hdm1,0.4350277,-0.104
Mir128-1,0.77863888,-0.059
Ubxn4,0.092182132,0.289
Affy_10349527,0.79590796,-0.037
Thsd7b,0.56356109,-0.139
Yod1,0.93108626,-0.017
AA986860,0.39428651,-0.163
LINE_Affy_10349569,0.070498697,-0.658
Fcamr,0.56741881,-0.129
Pigr,0.50609417,-0.173
Faim3,0.47187542,-0.16
Il10,0.4400823,0.16
Lgtn,0.95439291,0.01
Affy_10349634,0.68809868,-0.162
Fam72a,0.67570869,0.1
Avpr1b,0.72630729,0.089
Ctse,0.29036606,-3.913
5430435G22Rik,0.75751523,-0.086
Slc26a9,0.27328106,0.166
Pm20d1,0.31435055,-0.566
Slc41a1,0.36114003,-0.199
Rab7l1,0.38243855,0.135
Nucks1,0.85700077,-0.033
Slc45a3,0.24528497,0.293
Elk4,0.77833229,0.036
Lemd1,0.13909574,-0.229
mir-135b,0.36423328,-0.204
Gm7241,0.10056833,-0.316
Klhdc8a,0.86580303,0.044
Nuak2,0.4436315,-0.198
Affy_10349791,0.95542783,0.008
Dstyk,0.19290182,0.196
Rbbp5,0.48990157,-0.086
Tmem81,0.15417478,-0.285
Gm10538,0.91146767,0.023
Lrrn2,0.25397823,-0.314
Gm7246,0.141415,0.49
Pik3c2b,0.78585523,-0.048
Ppp1r15b,0.44094488,0.124
Affy_10349872,0.25538382,-0.251
Plekha6,0.80462856,0.034
Golt1a,0.34296451,0.311
Kiss1,0.97600253,-0.007
Ren1,0.63290152,-0.114
Etnk2,0.14375644,0.667
Affy_10349943,0.27895253,0.149
Gm10537,0.055258196,-0.407
Fmod,0.29204276,0.304
Gm8618,0.78564819,-0.069
Chit1,0.88175641,0.025
Chi3l1,0.63841141,0.25
Mybph,0.24554318,-0.253
Myog,0.050553304,-0.495
4933406M09Rik,0.14481512,-0.303
Cyb5r1,0.80842977,0.044
Adipor1,0.2953258,-0.102
Klhl12,0.065877478,0.458
Rabif,0.41416806,0.146
Rpl29,0.40678488,-0.174
Kdm5b,0.45514525,-0.223
Syt2,0.69190804,0.071
Ube2t,0.94993232,-0.009
Ptprv,0.56272638,-0.133
Ptpn7,0.87408598,-0.03
Arl8a,0.75677512,-0.096
Lmod1,0.5207233,-0.189
Nav1,0.12382068,-0.328
Csrp1,0.58534552,-0.177
Phlda3,0.73439962,-0.126
Tnni1,0.23001528,-0.25
Lad1,0.40679192,0.295
Tnnt2,0.92772732,-0.021
Tmem9,0.80331551,0.053
Affy_10350197,0.64513279,-0.136
Cacna1s,0.86441432,-0.027
Kif21b,0.47827351,0.146
Ddx59,0.034995743,-0.432
Kif14,0.73805286,-0.062
Kif14,0.58013624,-0.094
Zfp281,0.83414608,-0.04
Hmbs,0.81540083,0.046
A130050O07Rik,0.74370427,0.07
mir-181a-1,0.25175377,-0.216
mir-181b-1,0.90793705,0.029
Atp6v1g3,0.13115132,-0.388
Dennd1b,0.4836361,0.113
Zbtb41,0.8978237,0.029
Aspm,0.51964155,0.116
F13b,0.81573917,0.042
Kcnt2,0.55840179,0.223
Affy_10350471,0.93696148,0.03
B3galt2,0.27123298,-0.219
Glrx2,0.72547945,-0.046
Uchl5,0.53109927,0.114
Affy_10350502,0.35739632,-0.196
Gm5263,0.97686644,0.007
Brinp3,0.95920661,-0.008
Ptgs2,0.47483382,-0.156
Pdc,0.79928095,-0.057
Tpr,0.63966828,0.085
Tpr,0.50978626,0.172
3110040M04Rik,0.22080236,-0.237
Ivns1abp,0.65431089,0.132
Trmt1l,0.83753908,0.036
Fam129a,0.16894306,0.37
Edem3,0.49514326,-0.117
Colgaltg2,0.039372794,-0.388
Apobec4,0.75504762,-0.063
Arpc5,0.52029677,0.202
Ncf2,0.94058499,0.021
Nmnat2,0.68981226,-0.082
1700012A16Rik,0.17210632,-0.204
Affy_10350723,0.67548027,-0.072
Rgs8,0.074313718,-0.439
Rgs16,0.32881428,-0.931
Rnasel,0.47937618,-0.198
Gm5531,0.089809944,-0.512
Teddm1,0.71938239,-0.058
Glul,0.41406982,0.267
A930039A15Rik,0.91500448,0.035
Affy_10350760,0.33217712,-0.211
Stx6,0.21966444,0.281
Acbd6,0.89127586,0.029
Ifrg15,0.43766371,0.163
Ifrg15,0.3039211,0.32
Tor1aip2,0.46741246,0.138
Nphs2,0.071687666,-0.38
Rpl35,0.59496908,0.055
Csnk2a1,0.69409661,-0.034
Abl2,0.79246116,-0.046
2810417H13Rik,0.18559618,0.206
Angptl1,0.54823033,-0.111
Gm10531,0.31544042,-0.18
2810025M15Rik,0.44630549,0.178
BC026585,0.18037321,1.541
Sec16b,0.2981544,0.225
Affy_10350894,0.39751057,0.222
Astn1,0.8351616,0.044
Mir488,0.16925875,0.241
Rfwd2,0.75573132,-0.054
Affy_10350948,0.90397096,-0.033
Tnr,0.13795364,-0.279
Gm10530,0.65647636,0.114
Kiaa0040,0.093985182,1.17
Mrps14,0.58912884,0.09
Rpl23a,0.5765398,-0.072
Rc3h1,0.76960352,0.04
Rc3h1,0.43510121,0.142
Serpinc1,0.62203089,0.091
Gas5,0.28979001,0.461
Gas5,0.59589187,0.216
Gas5,0.67196164,-0.152
Gas5,0.12579367,0.599
Affy_10351041,0.87538841,0.083
Affy_10351043,0.45645799,0.403
Affy_10351045,0.16473511,0.484
Cenpl,0.14920194,0.96
Ankrd45,0.75783037,-0.09
Affy_10351063,0.80133447,-0.065
Affy_10351065,0.97868369,-0.004
Tnfsf4,0.58513664,-0.124
Tnfsf18,0.72828528,-0.07
Pigc,0.39024686,0.167
Dnm3os,0.65167572,-0.091
Dnm3,0.40114957,-0.157
Vamp4,0.5519961,0.09
Myoc,0.56642816,-0.107
Affy_10351136,0.14082206,-0.284
Rpsa-ps1,0.44208568,-0.172
Kifap3,0.15408514,0.319
Scyl3,0.45288183,-0.122
Mettl18,0.76059051,0.106
Sele,0.43484389,-0.13
Sell,0.044765634,0.529
Selp,0.78005625,0.102
F5,0.54809616,-0.101
Slc19a2,0.7030915,0.096
4930455F23Rik,0.90257385,-0.028
Nme7,0.57278589,-0.151
Dpt,0.48681339,0.408
Gpr161,0.85159656,0.036
Brp44,0.50990513,0.188
Adcy10,0.3497901,-0.353
Affy_10351345,0.88998051,-0.027
Creg1,0.19563143,0.514
Cd247,0.38222251,-0.132
Gpa33,0.10036722,-0.344
Ildr2,0.19519517,1.427
Tada1,0.24681227,0.456
Fam78b,0.35004909,-0.263
Tmco1,0.177218,-0.328
Aldh9a1,0.64202803,0.097
Rxrg,0.89906566,-0.034
Lmx1a,0.42780681,-0.169
Rgs5,0.31285632,-0.372
Rgs5,0.38019175,-0.31
C1orf110,0.42086296,-0.143
Uhmk1,0.40387523,-0.225
Sh2d1b2,0.62130031,0.122
Sh2d1b1,0.61283162,0.186
1700015E13Rik,0.16192266,-0.234
Nos1ap,0.97034436,0.009
Gm7299,0.89247408,0.041
Olfml2b,0.53287857,-0.13
Affy_10351500,0.47206205,-0.143
Dusp12,0.96507201,0.01
EG665955,0.11255175,-3.619
Gm10522,0.35959977,-0.272
Fcgr4,0.53808318,0.469
Rnu1b1,0.88571915,-0.042
C1orf192,0.47956473,0.378
Mpz,0.1743656,-0.344
Nr1i3,0.98966251,-0.008
Apoa2,0.88476226,-0.02
Adamts4,0.85483644,-0.042
B4galt3,0.28990707,0.276
Dedd,0.6950242,-0.048
Pfdn2,0.83988285,-0.055
Pvrl4,0.28840727,-0.238
Arhgap30,0.73225878,0.095
Usf1,0.98000093,-0.008
F11r,0.37186116,-0.363
Refbp2,0.0410994,0.732
Refbp2,0.24898239,-0.363
Cd244,0.33509189,0.315
Cd48,0.7600659,0.152
Ccdc72,0.3604178,-0.152
Slamf1,0.4767216,-0.138
Cd84,0.063141593,0.695
Gm10521,0.66136283,-0.099
Slamf6,0.32723129,0.279
Copa,0.88601239,0.03
Pex19,0.21971894,0.291
Dcaf8,0.4312014,0.2
Igsf8,0.5109791,-0.125
Kcnj10,0.4590886,0.246
Pigm,0.39033025,0.229
Slamf9,0.84394249,-0.072
Igsf9,0.71787859,0.064
Tagln2,0.08835115,0.74
Ccdc19,0.27727972,-0.19
Vsig8,0.75334914,-0.053
Crp,0.45574197,0.19
Olfr16,0.83197767,-0.09
Affy_10351859,0.71570083,0.067
Olfr218,0.038586227,-0.341
Olfr1404,0.50861323,0.144
Olfr418-ps1,0.13577147,-0.3
Aim2,0.54249771,0.2
Pyhin1,0.16580064,0.859
E430029J22Rik,0.75158955,0.128
Olfr433,0.94155842,-0.016
Olfr432,0.9243904,0.017
Olfr430,0.64416599,-0.077
Olfr429,0.47910442,-0.142
Olfr427,0.18806151,0.243
Olfr424,0.79008367,0.057
Affy_10351897,0.79765314,-0.048
Olfr421,0.68141819,0.08
Olfr420,0.6946662,-0.095
Spna1,0.56465893,-0.079
1810030J14Rik,0.19679155,-0.286
Olfr417,0.68610493,-0.104
Olfr248,0.87869108,-0.038
Olfr414,0.76404154,0.079
Olfr220,0.36577568,-0.178
Fmn2,0.52043935,-0.14
Gm10520,0.62389405,-0.085
Kmo,0.50900674,-0.129
Wdr64,0.9374831,0.013
Exo1,0.92752144,0.021
Affy_10352064,0.31964275,-0.316
Sdccag8,0.52700397,0.108
Zfp238,0.66288347,-0.108
1700016C15Rik,0.093409177,-0.265
Gm16432,0.19253666,-0.321
Gm16432,0.1655556,0.331
Pppde1,0.62612859,0.17
Gm9982,0.89037116,0.037
Fam36a,0.81660711,0.052
Affy_10352131,0.92888399,-0.014
Efcab2,0.13197717,0.392
Kif26b,0.23265827,-0.324
Affy_10352150,0.085806944,-0.453
Kif26b,0.24015712,-0.302
Cnst,0.89508881,0.022
Sccpdh,0.98638549,-0.005
Ahctf1,0.34029302,-0.185
Cdc42bpa,0.097622591,0.652
Itpkb,0.25694525,0.224
Parp1,0.34876813,0.1
Lin9,0.57652694,-0.129
Acbd3,0.15751208,-0.226
G370120E05Rik,0.67649948,-0.102
BC031781,0.95688281,0.01
Lefty2,0.36125866,-0.202
Pycr2,0.37337421,-0.155
Lefty1,0.75217133,0.072
Tmem63a,0.65429549,-0.151
9130409I23Rik,0.40631424,1.044
Cnih4,0.371926,0.25
A430110L20Rik,0.79606052,-0.051
Haus5,0.93411499,0.019
Cnih3,0.23696184,-0.31
Affy_10352369,0.90337466,-0.02
Dnahc14,0.69522682,0.058
Srp9,0.21789455,-0.242
Trp53bp2,0.1214421,0.188
Capn8,0.089574904,-1.048
Susd4,0.64303636,-0.52
Dusp10,0.11817788,0.372
Affy_10352454,0.89247619,0.024
Rpl21,0.82600524,-0.025
Rab3gap2,0.6760368,0.08
Snora36b,0.92271497,0.016
mir-194-1,0.68758064,-0.081
mir-215,0.76350537,0.074
Bpnt1,0.42240421,-0.129
Eprs,0.46690522,-0.113
Slc30a10,0.69701553,-0.115
Tgfb2,0.52273858,-0.187
Gm3809,0.45932525,0.187
D1Pas1,0.66937835,0.076
Gpatch2,0.88963554,0.021
Esrrg,0.71676827,-0.136
Ush2a,0.55939314,-0.076
Ptpn14,0.69065085,-0.092
Angel2,0.80310581,-0.039
Mfsd7b,0.66047534,-0.101
1700022P22Rik,0.24333181,-0.292
Nsl1,0.9247144,-0.021
Batf3,0.75073011,-0.066
D730003I15Rik,0.45427055,0.153
Tmem206,0.14987969,0.323
Ints7,0.96438506,-0.014
Lpgat1,0.89460673,-0.035
Nek2,0.21641655,-0.404
Slc30a1,0.24227723,-0.264
Rd3,0.8092476,0.049
Gm10124,0.96701691,-0.013
Gm10516,0.83089036,0.04
Kcnh1,0.22710104,-0.252
Affy_10352813,0.54302271,0.315
Irf6,0.52493757,-0.229
A130010J15Rik,0.96569063,0.01
A130010J15Rik,0.75639546,0.07
Lamb3,0.57414821,0.257
Affy_10352864,0.41191207,0.168
Plxna2,0.38975656,0.734
Cd34,0.73997523,0.12
Cd34,0.66747527,0.103
Mir29b-2,0.44605749,0.196
mir-29c,0.37361707,0.249
Xkr4,0.37987032,-0.19
Affy_10352926,0.69005881,0.101
Rp1,0.96399136,0.01
Sox17,0.65914932,0.084
Affy_10352945,0.57148575,0.132
Mrpl15,0.63796838,-0.122
Hmgb3,0.56278796,0.149
Rgs20,0.13484187,-0.273
Npbwr1,0.80460261,-0.048
Rb1cc1,0.20498209,-0.315
Affy_10352973,0.65910851,-0.089
Sntg1,0.4222948,0.379
Affy_10353002,0.29770717,-0.232
Cks2,0.39977936,0.171
Gm7075,0.17175264,-0.188
Mybl1,0.50124459,0.419
Vcpip1,0.58640651,0.09
Rpa3,0.296695,-0.388
Snord87,0.70320264,-0.14
Gm10567,0.37748978,-0.275
Lrrc67,0.34620115,-0.144
Affy_10353048,0.52896463,-0.12
Cops5,0.22096256,0.258
Affy_10353061,0.31399761,-0.296
Arfgef1,0.64166599,-0.065
Cpa6,0.57717795,0.079
Affy_10353115,0.54603316,0.114
Slco5a1,0.15090488,-0.254
Prdm14,0.14305377,-0.29
Ncoa2,0.067000428,-0.31
Affy_10353165,0.004421826,-1.1
Tram1,0.57969394,-0.146
Lactb2,0.90638256,0.031
Gm5523,0.71798141,-0.054
Eya1,0.94552301,0.01
Msc,0.27736883,-0.235
Sumo2,0.84792942,0.03
Trpa1,0.72225239,-0.064
Gapdh,0.65673301,-0.062
Gm106,0.25400472,-0.254
4930444P10Rik,0.72011127,-0.075
Rpl7,0.74751077,0.049
Stau2,0.12836775,-0.413
Ube2w,0.84532873,-0.042
Tceb1,0.11327789,0.402
Affy_10353303,0.9388111,0.023
Gm5828,0.7627668,-0.076
LOC100047557,0.010333861,-0.552
Jph1,0.23149872,0.268
Jph1,0.71837346,-0.074
Affy_10353317,0.85037557,0.043
Crisp4,0.84924724,-0.027
Defb44-ps,0.91154428,0.019
Defb18,0.22594374,-0.188
Defb41,0.86902711,0.02
Hmgb1,0.67536094,0.066
LOC100046479,0.63238719,0.1
Pkhd1,0.07125488,0.796
Affy_10353413,0.31176382,0.236
Il17f,0.25347869,-0.249
Mcm3,0.49208846,0.126
Tram2,0.11819093,-0.459
Gm4956,0.23097077,1.191
Kcnq5,0.1782519,-0.333
Eif3m,0.82877364,0.043
Affy_10353477,0.45133261,0.172
Rims1,0.049867258,-0.321
4933415F23Rik,0.17295073,-0.248
Gm6420,0.44819187,-0.264
Ogfrl1,0.33376068,0.252
Smap1,0.27617519,0.141
C6orf57,0.13762806,0.495
Fam135a,0.58029189,0.192
Col19a1,0.5477703,-0.127
ND4L-ps,0.76400115,-0.044
MT-ATP6,0.64303755,-0.077
mt-Co2,0.64262177,-0.065
Bai3,0.50128366,0.148
Affy_10353667,0.002448841,0.907
4931408C20Rik,0.61918868,-0.074
Affy_10353672,0.76611123,-0.094
Lsm5,0.72538527,0.129
Gm597,0.62168259,0.086
Gm5697,0.75574169,-0.071
Affy_10353684,0.41701898,0.18
Gm9898,0.41925272,-0.195
Phf3,0.31195388,-0.165
Ptp4a1,0.9381859,0.022
Gm5698,0.28247183,-0.122
Lgsn,0.57689491,-0.093
Affy_10353727,0.6330696,-0.08
4930444G20Rik,0.78980408,-0.037
4930444G20Rik,0.76833625,-0.037
Prim2,0.20492253,0.32
Bag2,0.78257067,0.055
Zfp451,0.73413928,0.052
Gm15455,0.94411868,-0.02
Bend6,0.8277948,0.044
Ccdc115,0.9238119,0.021
Prss40,0.046761419,-0.432
1700101I19Rik,0.38919835,-0.186
Fam168b,0.62243533,0.075
Uggt1,0.98705601,0.004
Neurl3,0.8317442,0.134
Kiaa1310,0.43008359,0.222
Lman2l,0.83487134,-0.045
Ankrd23,0.85879977,0.039
Ankrd39,0.2481012,-0.235
Sema4c,0.71404669,0.083
Fam178b,0.82742224,0.052
Fam178b,0.55090479,-0.12
Actr1b,0.69169257,0.052
Tmem131,0.55358252,0.091
Affy_10353989,0.91429299,-0.024
Rpl12,0.53062555,-0.106
Coa5,0.53547004,0.192
Mgat4a,0.23497111,0.409
Kiaa1211l,0.34808344,-0.22
Tsga10,0.88366989,0.027
Mitd1,0.55755517,-0.117
Lyg2,0.7039323,-0.108
Lyg1,0.3264077,-0.203
Txndc9,0.93046923,0.02
Rev1,0.73153315,-0.064
Aff3,0.60536774,-0.079
Lonrf2,0.93590261,-0.013
Chst10,0.12698199,-0.264
Tbc1d8,0.15668645,0.404
Rnf149,0.093543573,-0.283
Affy_10354203,0.19166768,0.362
Gm5100,0.070828193,-0.716
Creg2,0.16685146,-0.279
Rfx8,0.69007418,0.08
Mfsd9,0.17467389,0.234
Affy_10354227,0.32743616,-0.216
2610017I09Rik,0.61704986,-0.088
Tgfbrap1,0.51288195,0.097
Fhl2,0.70916167,0.086
Uxs1,0.62425415,-0.084
Mettl21c,0.11734362,-0.199
Affy_10354273,0.4464486,-0.142
1700029F09Rik,0.95223989,0.014
Kdelc1,0.49461096,0.11
4832428D23Rik,0.73557062,-0.072
Txn1,0.48820807,-0.148
Col5a2,0.36203208,-0.151
Col5a2,0.62901038,-0.116
Affy_10354370,0.84545913,-0.038
Myl6,0.7815894,0.05
Slc40a1,0.33034504,-0.423
Gm4776,0.31395018,-0.192
Slc39a10,0.15116887,0.524
Affy_10354400,0.1055177,-0.401
Dnajb6,0.31993159,-0.142
Affy_10354406,0.9419628,0.012
Affy_10354408,0.53126482,-0.094
Affy_10354411,0.72225764,0.077
Affy_10354414,0.63091059,-0.09
Affy_10354416,0.20128066,-0.444
Obfc2a,0.62843392,-0.145
Myo1b,0.70021776,-0.074
Affy_10354468,0.13838893,-0.266
Rpl15,0.037179568,-0.428
Gls,0.12136739,0.507
Affy_10354492,0.20805909,0.204
Nab1,0.49269236,0.142
Gm5976,0.084768836,-0.506
Mfsd6,0.32234364,0.314
Inpp1,0.21324211,0.349
1700019D03Rik,0.34197969,0.226
1700019A02Rik,0.46960192,0.141
Pms1,0.80033736,0.053
Asnsd1,0.7011527,0.066
Dnahc7b,0.80874187,0.032
Dnahc7b,0.6723758,0.117
Affy_10354581,0.63175768,-0.163
Stk17b,0.27395029,0.426
Hecw2,0.58112194,-0.053
Gtf3c3,0.53505767,0.144
Gm6810,0.46671388,-0.172
Pgap1,0.97387297,-0.012
Pgap1,0.98187966,0.007
Ankrd44,0.51659029,0.154
Sf3b1,0.91258414,-0.012
Coq10b,0.43240758,-0.197
Hspd1,0.84129435,0.05
Gm5147,0.82730476,0.061
Atp5l,0.23430637,0.287
Rftn2,0.14242794,0.192
Boll,0.91482429,0.016
Gm7098,0.44442457,0.145
Akr1b3,0.92777558,-0.034
Hsfy2,0.87406508,-0.03
Satb2,0.34590581,0.173
Affy_10354788,0.27110728,-0.222
1110034B05Rik,0.76512763,0.074
Affy_10354803,0.79114653,-0.054
Kctd18,0.86428828,0.029
Clk1,0.78170433,-0.052
Ppil3,0.074631129,0.372
Orc2l,0.98311287,0.005
Fam126b,0.75528957,-0.09
Affy_10354881,0.48822369,0.147
Als2cr12,0.89185101,0.028
Trak2,0.48490169,-0.112
4930408G06Rik,0.969327,-0.006
4930408G06Rik,0.90448633,0.038
Als2cr11,0.65553831,-0.062
Als2cr4,0.16159087,0.26
Mpp4,0.6270479,-0.113
Als2,0.35647625,-0.166
Sumo1,0.28540329,0.314
Ica1l,0.1627149,-0.283
Wdr12,0.98030271,-0.007
Raph1,0.95507409,0.011
Ino80d,0.64289057,-0.058
Ndufs1,0.84271125,0.032
AF362573,0.2164377,0.418
Gpr1,0.75903994,0.066
Affy_10355113,0.39541357,-0.146
Prelid1,0.68661183,-0.067
Dytn,0.63250656,0.097
Mdh1b,0.33628627,0.15
4933402D24Rik,0.30349561,-0.2
Affy_10355138,0.61734373,-0.076
Klf7,0.89289552,0.034
Mettl21a,0.98926585,0.003
Fzd5,0.61779859,-0.098
Plekhm3,0.52808127,0.14
Rpl10a,0.11420141,-0.222
4921521F21Rik,0.28230281,0.152
Cryge,0.99589935,0.001
Crygd,0.23755346,-0.259
Crygc,0.65425973,-0.097
Crygc,0.56213295,0.089
Crygb,0.46718529,-0.186
Cryga,0.24432281,-0.32
D630023F18Rik,0.64420385,-0.113
Idh1,0.72049396,-0.072
Gm10558,0.23058388,0.186
Kansl1l,0.31607984,0.241
Acadl,0.71706186,0.098
Myl1,0.89161155,-0.035
Gm10072,0.87550698,-0.057
Lancl1,0.67815022,-0.098
Erbb4,0.16468268,1.656
Gm8840,0.42929562,-0.699
Ikzf2,0.39112507,0.172
Bard1,0.27850482,-0.182
Bard1,0.48792448,-0.122
Bard1,0.86480144,0.03
Affy_10355341,0.37265356,-0.258
Abca12,0.48209011,-0.121
Acp1,0.29682415,-0.189
Fn1,0.0351654,-0.208
Affy_10355452,0.64781428,0.137
Gm5256,0.74668747,-0.088
Mreg,0.3961223,-0.2
Pecr,0.87291366,-0.037
04-Mar,0.055230024,-0.412
Ankar,0.93970146,0.014
Igfbp5,0.082002919,0.528
Tnp1,0.017131786,-0.488
Tns1,0.79807226,0.041
Tns1,0.34197593,-0.377
Tns1,0.70948119,-0.088
Tns1,0.50015679,-0.139
Tns1,0.55770177,0.106
Tns1,0.90498756,0.02
Cxcr1,0.27389067,-0.24
Aamp,0.51778231,-0.107
Tmbim1,0.94735508,0.012
Usp37,0.92813737,0.026
Zfp142,0.8554984,0.031
Rnf25,0.90852319,0.024
Prkag3,0.11956024,-0.364
Fev,0.044790367,-0.412
Cryba2,0.14592168,-0.358
Mir375,0.46479902,-0.218
Ccdc108,0.20929395,-0.242
Ihh,0.009035332,-0.514
Nhej1,0.12597728,0.28
Slc23a3,0.92452843,0.019
Cnppd1,0.64865797,0.09
Abcb6,0.75661801,-0.06
Atg9a,0.46017609,-0.104
Glb1l,0.99175636,0.002
Tuba4a,0.59445827,0.205
Ptprn,0.68756391,-0.086
Resp18,0.36243702,-0.121
Dnpep,0.1375414,0.228
Chpf,0.28198064,-0.17
Obsl1,0.35161008,-0.186
Epha4,0.58708942,-0.092
Affy_10355914,0.34947998,0.17
Pax3,0.9520612,-0.011
Farsb,0.27515168,0.164
BC035947,0.8878718,-0.026
Ube2v1,0.81465282,0.037
Scg2,0.43242714,-0.142
Ap1s3,0.83744649,-0.047
Wdfy1,0.53211424,-0.17
Serpine2,0.66114562,0.409
Slc25a5,0.64706256,-0.065
Fam124b,0.89997033,-0.025
Cul3,0.24984135,0.162
Gm6189,0.91104008,-0.029
Dock10,0.27089036,0.612
Plscr1,0.4491892,0.379
Irs1,0.4485534,0.221
Col4a4,0.10146071,-0.23
Tm4sf20,0.000671765,-0.822
LOC100044526,0.79937247,-0.067
Slc19a3,0.37032577,-0.4
Sphkap,0.89184256,0.026
Affy_10356170,0.62566725,-0.143
Pid1,0.74862473,-0.058
Dner,0.15387018,-0.316
Trip12,0.10625942,-0.174
Slc16a14,0.11810496,-0.392
C130026I21Rik,0.82175734,0.056
Gm7609,0.60496462,0.25
A530032D15Rik,0.007079466,0.803
Sp140,0.057804509,0.697
A530032D15Rik,0.5607058,-0.174
Csprs,0.91252382,-0.06
Sp110,0.69505697,0.088
A530040E14Rik,0.81751549,-0.058
A630001G21Rik,0.62000628,0.171
Gpr55,0.093971988,-0.446
Htr2b,0.13504544,0.232
Ncl,0.48739487,0.137
Ncl,0.44030511,0.19
Affy_10356331,0.27406791,0.267
Snord82,0.68248457,-0.179
Nmur1,0.065015576,-0.406
Pde6d,0.51782508,0.133
Nppc,0.43736409,-0.174
Rpl6,0.42224559,-0.104
Alppl2,0.24163433,-0.21
Alpi,0.23201612,-0.303
Ecel1,0.15854726,-0.274
Affy_10356401,0.056102094,0.39
Kcnj13,0.93361132,-0.02
Ngef,0.11828818,-0.568
Usp40,0.27793498,0.281
Dnajb3,0.73445215,-0.062
Hjurp,0.20426283,1.355
Glrp1,0.62973249,0.083
Arl4c,0.81407516,-0.042
Gm5259,0.31644944,-0.158
Gbx2,0.59022019,-0.116
