target,gene,p-value,parental difference (B6-DBA)
1423515_at,Scn8a,0.53727402,0.109
1423516_a_at,Nid2,0.5904183,0.1618
1423517_at,Cct6a,0.99310748,0.0008
1423518_at,Csk,0.8638563,-0.0432
1423519_at,Abhd17,0.88840877,-0.0192
1423520_at,Lmnb1,0.6425479,-0.116
1423521_at,Lmnb1,0.97154771,0.0062
1423522_at,Npm3,0.59108066,0.1166
1423523_at,Aass,0.99725194,0.0008
1423524_at,Mastl,0.70587062,-0.056
1423525_at,Mastl,0.85950428,0.0234
1423526_at,Arid3b,0.89676077,0.0294
1423527_at,4921510H08Rik,0.69122685,-0.0584
1423528_at,Bcas3,0.17429251,0.2832
1423529_at,G6pc2,0.82412952,-0.037
1423530_at,Stk32c,0.49408772,-0.1502
1423531_a_at,Hnrnpa1,0.24609461,-0.2502
1423532_at,Rnf44,0.86336448,0.0452
1423533_a_at,Rhot1,0.86087848,0.0182
1423534_at,Pdcd2,0.5655459,-0.0924
1423535_at,Strn3,0.70031261,0.0484
1423536_at,Strn3,0.34763123,0.126
1423537_at,Gap43,0.82339637,0.038
1423538_at,Ntan1,0.35737022,-0.1252
1423539_at,Pms2,0.050247629,-0.2982
1423540_at,Rbms2,0.92642721,0.0138
1423541_at,Armc12,0.54723242,-0.0984
1423542_at,Klk7,0.91329694,0.0162
1423543_at,Swap70,0.65287124,-0.0994
1423544_at,Ptpn5,0.99786969,-0.001
1423545_a_at,Zfp207,0.53021532,0.1204
1423546_at,Zfp207,0.72671173,0.0936
1423547_at,Lyzs,0.48780171,0.15
1423548_s_at,Ergic3,0.34249666,-0.1692
1423549_at,Slc1a4,0.63625777,-0.087
1423550_at,Slc1a4,0.99328804,-0.0014
1423551_at,Cdh13,0.88908005,-0.033
1423552_at,Leprotl1,0.7971958,0.0442
1423553_at,Dnajb3,0.66877335,-0.0924
1423554_at,Ggcx,0.26062707,1.3042
1423555_a_at,Ifi44,0.86001404,0.0472
1423556_at,Akr1b7,0.50403701,-0.1424
1423557_at,Ifngr2,0.72409849,-0.0718
1423558_at,Ifngr2,0.60406414,-0.081
1423559_at,Kcnc1,0.1068896,0.449
1423560_at,Nell2,0.92903071,0.0506
1423561_at,Nell2,0.93736997,0.0294
1423562_at,Prrt1,0.86289574,-0.0322
1423563_at,Prrt1,0.70948192,0.0586
1423564_a_at,Paics,0.91927312,-0.0094
1423565_at,Paics,0.48095499,-0.0626
1423566_a_at,Hsp105,0.47899445,0.183
1423567_a_at,Psma7,0.5745368,-0.0812
1423568_at,Psma7,0.4147673,-0.1364
1423569_at,Gatm,0.099809165,0.6814
1423570_at,Abcg1,0.60234571,-0.0664
1423571_at,Edg1,0.23964943,0.3948
1423572_at,Bcl2l2,0.58616924,-0.0956
1423573_at,Srd5a2l,0.94738778,0.0102
1423574_s_at,Srd5a2l,0.87819839,0.0336
1423575_a_at,Wbscr22,0.68217184,-0.0614
1423576_a_at,Fhl4,0.57859374,-0.125
1423577_at,Ankrd32,0.87684812,-0.03
1423578_at,Col11a2,0.8522874,-0.0546
1423579_a_at,Trpc4,0.7735588,0.147
1423580_at,1700012M14Rik,0.18325611,-0.1896
1423581_at,Nmt2,0.78114069,-0.0682
1423582_at,Dmrt1,0.6143285,-0.0754
1423583_at,Fem1a,0.95872254,0.0088
1423584_at,Igfbp7,0.5768513,0.145
1423585_at,Igfbp7,0.9677137,0.0076
1423586_at,Axl,0.83330158,0.0448
1423587_a_at,Exosc10,0.58574395,-0.108
1423588_at,Arpc4,0.87110338,0.0296
1423589_at,Arpc4,0.9324323,-0.0138
1423590_at,Napsa,0.98471794,0.003
1423591_at,Fgfr1op2,0.22271817,0.134
1423592_at,Rock2,0.34340871,0.1552
1423593_a_at,Csf1r,0.89958109,-0.0304
1423594_a_at,Ednrb,0.62270023,0.1586
1423595_at,Mina,0.80479271,-0.052
1423596_at,Nek6,0.55470929,0.1056
1423597_at,Atp8a1,0.011005677,0.9442
1423598_at,Atp8a1,0.4979904,0.1454
1423599_a_at,Pdcl,0.64137868,0.0756
1423600_a_at,Tcof1,0.762575,-0.0652
1423601_s_at,Tcof1,0.74265677,-0.0876
1423602_at,Traf1,0.50488981,-0.1684
1423603_at,Zfpm1,0.70606439,-0.126
1423604_at,Cspg3,0.36411001,0.2214
1423605_a_at,Mdm2,0.87218627,0.0214
1423606_at,Postn,0.37690654,-0.2354
1423607_at,Lum,0.59605077,-0.1542
1423608_at,Itm2a,0.52424215,-0.149
1423609_a_at,Mgat1,0.96102056,0.0078
1423610_at,Metap2,0.23106879,-0.173
1423611_at,Alpl,0.64391273,-0.075
1423612_at,Clp1,0.57025194,0.1258
1423613_at,Ssfa2,0.61852742,0.1008
1423614_at,E430036I04Rik,0.19479266,0.236
1423615_at,Zfp364,0.76509201,0.0394
1423616_at,Tarbp2,0.24686673,-0.1964
1423617_at,Cog8,0.91358382,0.0146
1423618_at,Bin1,0.77431916,-0.0354
1423619_at,Rasd1,0.59115062,-0.1924
1423620_at,2610528M18Rik,0.522201,0.1056
1423621_a_at,Slc33a1,0.82540172,0.0376
1423622_a_at,Ccnl1,0.88579774,0.019
1423623_at,2810021B07Rik,0.88380321,-0.0286
1423624_at,Fancl,0.65205237,0.0868
1423625_a_at,1810055D05Rik,0.94620693,-0.0124
1423626_at,Dst,0.4407998,-0.2954
1423627_at,Nqo1,0.36107651,-0.1396
1423628_s_at,Pcdhga1,0.95755529,0.0098
1423629_at,Dnm2,0.85072535,0.0204
1423630_at,Cygb,0.59114819,0.196
1423631_at,Nr2e3,0.51331629,-0.1152
1423632_at,Gpr146,0.65517367,-0.0758
1423633_at,6530403A03Rik,0.70582603,0.0856
1423634_at,Gsdma,0.71605727,-0.0498
1423635_at,Bmp2,0.7130844,0.1198
1423636_at,Wdr31,0.2776059,-0.1954
1423637_at,Galnt4,0.30948555,-0.1584
1423638_at,Galnt4,0.84465125,-0.032
1423639_at,Hrh2,0.49759056,-0.1004
1423640_at,Synpr,0.67307565,-0.0898
1423641_s_at,Cnot7,0.52366285,0.1094
1423642_at,Tubb4b,0.93448027,-0.0172
1423643_at,Ddx39,0.36712031,-0.1456
1423644_at,Aco1,0.78570405,-0.0406
1423645_a_at,Ddx5,0.81477405,0.031
1423646_at,Zdhhc3,0.77023529,-0.0558
1423647_a_at,Zdhhc3,0.50402681,0.07
1423648_at,Txndc5,0.36524995,0.2116
1423649_at,Tmem68,0.34172998,0.2116
1423650_at,Rnf26,0.9915906,-0.002
1423651_at,Isca1,0.45873239,0.0624
1423652_at,Hbld2,0.49519847,0.102
1423653_at,Atp1a1,0.82647483,0.125
1423654_a_at,Rnf4,0.43583283,-0.0742
1423655_a_at,1500010J02Rik,0.24851553,-0.2224
1423656_x_at,C17orf68,0.13466447,-0.3
1423657_at,Cdipt,0.41699849,-0.0596
1423658_at,Sppl3,0.34600559,-0.1166
1423659_a_at,Tbc1d17,0.84054558,-0.028
1423660_at,Ctdsp2,0.35893555,0.179
1423661_s_at,Ctdsp2,0.23073276,0.2118
1423662_at,Atp6ap2,0.62307328,0.0538
1423663_at,Flcn,0.84070127,0.0288
1423664_at,Qdpr,0.20138149,0.3016
1423665_a_at,Rpl5,0.96663804,-0.0052
1423666_s_at,2900024C23Rik,0.14586142,0.673
1423667_at,Mat2a,0.036913431,0.7444
1423668_at,Zdhhc14,0.70935862,0.091
1423669_at,Col1a1,0.26445009,-0.265
1423670_a_at,Srpr,0.79485749,-0.0232
1423671_at,Dner,0.56169126,0.1122
1423672_at,Ttc30b,0.41422451,-0.096
1423673_at,Ldoc1l,0.8017238,-0.0442
1423674_at,Usp1,0.25011515,0.3386
1423675_at,Usp1,0.75682965,0.0572
1423676_at,Atp5h,0.51812525,0.0988
1423677_at,Fkbp9,0.56600198,0.0726
1423678_at,BC017643,0.80712682,-0.0316
1423679_at,C9orf125,0.54740136,0.103
1423680_at,Fads1,0.57090189,-0.1004
1423681_at,1300018I05Rik,0.47540463,-0.1164
1423682_a_at,Cdca4,0.3627198,-0.1436
1423683_at,Cdca4,0.4211275,-0.1156
1423684_at,Hnrnpk,0.79000791,0.0296
1423685_at,Aars,0.96954253,-0.0066
1423686_a_at,Prr13,0.65416619,-0.0714
1423687_a_at,Man2c1,0.20191635,-0.3118
1423688_at,Man2c1,0.23565618,-0.2356
1423689_a_at,Gpsm1,0.49324944,-0.2042
1423690_s_at,Gpsm1,0.56166838,-0.1772
1423691_x_at,Krt8,0.63448003,-0.0682
1423692_at,Ndufa8,0.32133793,-0.1094
1423693_at,Ela1,0.81756382,-0.0434
1423694_at,Kctd10,0.8262397,-0.039
1423695_at,Edem2,0.81081856,-0.0274
1423696_a_at,Psmd6,0.52767803,0.353
1423697_at,Psmd6,0.46556481,-0.076
1423698_at,Ncaph2,0.27022477,-0.2036
1423699_at,D15Ertd785e,0.98495868,0.003
1423700_at,Rfc3,0.2817972,-0.2308
1423701_at,Coasy,0.4533926,-0.1012
1423702_at,H1f0,0.68606642,-0.077
1423703_at,Ppan,0.17235136,-0.1986
1423704_at,Lypla3,0.19502937,-0.1866
1423705_at,2310057D15Rik,0.79876803,-0.0366
1423706_a_at,Pgd,0.43900117,-0.1418
1423707_at,Tmem50b,0.63697134,-0.0624
1423708_a_at,Farslb,0.37408786,0.1198
1423709_s_at,Farslb,0.58850426,0.0864
1423710_at,Dlst,0.77267998,0.032
1423711_at,Ndufaf1,0.31578577,0.207
1423712_a_at,Qars,0.050761218,-0.211
1423713_at,Abcb8,0.12621592,-0.5752
1423714_at,Asf1b,0.8773748,-0.0226
1423715_a_at,Nedd8,0.15601547,-0.2088
1423716_s_at,Atp5d,0.58392645,-0.111
1423717_at,Ak3,0.35344657,0.1046
1423718_at,Ak3,0.25273011,0.1388
1423719_at,U46068,0.3827742,-0.1648
1423720_a_at,Sar1a,0.57130373,0.1306
1423721_at,Tpm1,0.53749056,0.2016
1423722_at,Tmem49,0.24387833,0.168
1423723_s_at,Tardbp,0.23097425,0.2362
1423724_at,Zwint,0.72998489,-0.045
1423725_at,Pls3,0.70766778,0.1144
1423726_at,Vat1,0.90216294,0.0454
1423727_at,Cnih,0.40192696,-0.0974
1423728_at,Eif3s6ip,0.73759718,0.0532
1423729_a_at,Rnf181,0.52950698,-0.0724
1423730_at,Clptm1l,0.47323352,-0.0672
1423731_at,Aldh16a1,0.86143384,-0.0226
1423732_at,Tram1,0.86527816,-0.0238
1423733_a_at,Fiz1,0.5404096,-0.1082
1423734_at,Rac1,0.24176298,0.201
1423735_a_at,Wdr36,0.78726183,-0.0446
1423736_a_at,Dym,0.92167584,0.012
1423737_at,Ndufs3,0.48762961,-0.1046
1423738_at,Oxa1l,0.45138438,0.1562
1423739_x_at,Aplp2,0.78455911,0.0338
1423740_a_at,Rbm10,0.63226168,-0.0896
1423741_at,Rbm10,0.85741976,-0.0326
1423742_at,Rbm10,0.91789326,0.0198
1423743_at,Arcn1,0.62567526,0.087
1423744_x_at,Eif2s3x,0.85416418,0.0172
1423745_at,Svap1,0.68086555,-0.0356
1423746_at,Txndc5,0.8486901,-0.0416
1423747_a_at,Pdk1,0.84413958,-0.0362
1423748_at,Pdk1,0.8568002,-0.0206
1423749_s_at,Rangap1,0.11716233,-0.353
1423750_a_at,Zfp162,0.67316212,0.1034
1423751_at,Zfp162,0.35806923,-0.2098
1423752_at,Ddx47,0.37930869,-0.1022
1423753_at,Bambi,0.77751672,-0.0648
1423754_at,Ifitm3,0.78854892,-0.1054
1423755_at,Zcchc8,0.53779422,0.0974
1423756_s_at,Igfbp4,0.6153949,-0.2182
1423757_x_at,Igfbp4,0.63107413,-0.1532
1423758_at,G3bp2,0.82817096,0.0218
1423759_a_at,Tmco1,0.23102862,-0.2526
1423760_at,Cd44,0.8674162,-0.0766
1423761_at,5630401D24Rik,0.92523042,-0.0204
1423762_at,Adck1,0.021963204,-0.2448
1423763_x_at,Rps28,0.40445683,-0.0718
1423764_s_at,Mrpl37,0.22303015,-0.1678
1423765_at,Athl1,0.98990625,-0.0026
1423766_at,Pak1ip1,0.85001485,-0.0306
1423767_at,Aip1,0.58576881,-0.0788
1423768_at,Unc93b1,0.75894731,-0.0428
1423769_at,Ptcd2,0.41867084,-0.0752
1423770_at,Tmc6,0.81369845,-0.0552
1423771_at,Prkcdbp,0.65575622,-0.0824
1423772_x_at,Slc25a5,0.79339566,-0.0264
1423773_at,Gpbp1,0.94271996,-0.0088
1423774_a_at,Prc1,0.78827578,0.0724
1423775_s_at,Prc1,0.99777882,-0.0006
1423776_s_at,Tbc1d22a,0.52940056,-0.0756
1423777_at,Usp20,0.72399839,-0.067
1423778_at,Usp20,0.92128803,0.025
1423779_at,Chchd6,0.95152192,-0.0088
1423780_at,Hibadh,0.96765593,-0.0042
1423781_at,Appbp1,0.72370467,-0.0506
1423782_at,Mobk1b,0.98097995,0.0034
1423783_at,Tor2a,0.29754048,-0.1508
1423784_at,Gars,0.52351469,0.0912
1423785_at,Egln1,0.69914847,0.0656
1423786_at,C3orf37,0.17891768,-0.156
1423787_at,Nup133,0.47944412,-0.115
1423788_at,Nup133,0.53809099,-0.1472
1423789_at,C9orf78,0.57929179,-0.0786
1423790_at,Dap,0.53951854,0.0864
1423791_at,Ik,0.74478976,0.062
1423792_a_at,Cklfsf6,0.73889156,-0.0822
1423793_at,D2Ertd391e,0.98758289,-0.003
1423794_at,D2Ertd391e,0.39337857,-0.1506
1423795_at,Sfpq,0.40745213,0.193
1423796_at,Sfpq,0.94692185,0.0164
1423797_at,Aacs,0.49810538,-0.1224
1423798_a_at,Eif1,0.94659377,-0.0086
1423799_at,Eif1,0.71875396,-0.0534
1423800_at,Dars,0.68645938,0.0424
1423801_a_at,Aprt,0.32817871,-0.138
1423802_at,Camkv,0.92182624,-0.0196
1423803_s_at,Gltscr2,0.70307469,-0.0498
1423804_a_at,Idi1,0.82108091,0.0538
1423805_at,Dab2,0.18734727,-0.2332
1423806_at,2610034N24Rik,0.36358171,0.1936
1423807_a_at,Calm2,0.99086484,-0.0012
1423808_at,BC021790,0.26085413,0.3268
1423809_at,Tcf19,0.62574172,0.1144
1423810_at,Ppme1,0.96530858,-0.006
1423811_at,Sf3a3,0.52264953,-0.0944
1423812_s_at,Ecop,0.94271894,-0.0138
1423813_at,Kif22,0.93514356,-0.019
1423814_at,Ddx41,0.56782926,-0.1022
1423815_at,Ddx56,0.39830665,-0.127
1423816_at,Cxx1a,0.92934395,-0.0216
1423817_s_at,Use1,0.4640434,-0.1094
1423818_a_at,Arl6ip1,0.49837355,0.1704
1423819_s_at,Arl6ip1,0.31874936,0.2906
1423820_at,Elof1,0.85644462,-0.043
1423821_at,Tmem168,0.94929259,0.018
1423822_a_at,8430437G11Rik,0.64805424,0.0678
1423823_at,2610012O22Rik,0.14689991,-0.1698
1423824_at,Wls,0.58273132,0.1236
1423825_at,Wls,0.26823039,0.2308
1423826_at,Noc4l,0.74417459,-0.043
1423827_s_at,Noc4l,0.93213617,-0.0118
1423828_at,Fasn,0.37932842,-0.1698
1423829_at,Fam49b,0.8120538,0.0378
1423830_a_at,2700087H15Rik,0.7283613,-0.0748
1423831_at,Prkag2,0.84567321,-0.035
1423832_at,Prkag2,0.66082434,-0.0754
1423833_a_at,Brp44,0.90719778,0.0186
1423834_s_at,Gga1,0.58730307,-0.1012
1423835_at,Zfp503,0.67287096,0.174
1423836_at,Zfp503,0.98514778,-0.0052
1423837_at,2400003C14Rik,0.11287129,-0.1416
1423838_s_at,2400003C14Rik,0.13678961,-0.1574
1423839_a_at,Btf3,0.50673821,-0.1334
1423840_at,Ccdc56,0.70853321,-0.0826
1423841_at,Bxdc2,0.97052307,-0.0096
1423842_a_at,Rnf41,0.96864564,-0.0056
1423843_at,BC027309,0.24001933,-0.2676
1423844_s_at,Cbs,0.92329645,0.0212
1423845_at,Csdc2,0.98602985,0.0062
1423846_x_at,Tuba2,0.60613843,-0.0772
1423847_at,Cnap1,0.346414,0.5872
1423848_at,Mphosph6,0.32094109,-0.136
1423849_a_at,Clk3,0.81309636,0.0458
1423850_at,Nsun2,0.84819363,-0.0252
1423851_a_at,Tmem46,0.82272402,0.0642
1423852_at,Tmem46,0.98450498,0.0078
1423853_at,Lamp5,0.82085449,-0.065
1423854_a_at,Rasl11b,0.4285869,0.3806
1423855_x_at,Rpl17,0.36966772,-0.1134
1423856_at,Popdc3,0.94261263,-0.015
1423857_at,Mrpl30,0.80191121,0.0596
1423858_a_at,Hmgcs2,0.67963202,-0.1882
1423859_a_at,Ptgds,0.86298711,0.0926
1423860_at,Ptgds,0.88541602,0.096
1423861_at,Plekhf2,0.71627859,-0.0716
1423862_at,Plekhf2,0.90665898,-0.0218
1423863_at,Abcf2,0.55110004,0.106
1423864_at,Nrbp,0.18181348,-0.2052
1423865_at,Slc44a1,0.31879082,0.233
1423866_at,Serpina3k,0.68912629,-0.066
1423867_at,Serpina3k,0.72502251,-0.0706
1423868_at,Txnrd3,0.3470874,-0.1794
1423869_s_at,Txnrd3,0.41853487,-0.161
1423870_at,Aida,0.32564196,-0.1166
1423871_at,C1orf55,0.21185201,0.408
1423872_a_at,Dag1,0.35736078,0.2046
1423873_at,Lsm1,0.88112875,-0.0324
1423874_at,Wdr33,0.92511865,-0.0168
1423875_at,Fam160b1,0.43395597,0.1222
1423876_at,Fam160b1,0.72352043,0.0558
1423877_at,Chaf1b,0.71818238,-0.044
1423878_at,Gypc,0.14140739,-0.2274
1423879_at,D030056L22,0.8570152,-0.0354
1423880_at,D10Wsu52e,0.27565433,-0.1424
1423881_at,Saps3,0.982118,0.0028
1423882_at,Rfwd3,0.52859928,-0.0686
1423883_at,Acsl1,0.83564373,0.036
1423884_at,Cirh1a,0.67639776,-0.052
1423885_at,Lamc1,0.58174516,0.0914
1423886_at,Lamc1,0.8901722,0.0196
1423887_a_at,1200003M09Rik,0.65830895,0.0738
1423888_at,1200003M09Rik,0.64894212,-0.0522
1423889_at,MGC5739,0.11947135,-0.4664
1423890_x_at,Atp1b1,0.72413173,-0.054
1423891_at,Gstt3,0.50167228,-0.0716
1423892_at,Apbb1,0.99088881,-0.0024
1423893_x_at,Apbb1,0.98893441,-0.0024
1423894_a_at,Dalrd3,0.73841921,-0.0616
1423895_a_at,Cugbp2,0.44639035,-0.1172
1423896_a_at,Rnf187,0.10449083,-0.1608
1423897_at,Rnf187,0.30804409,-0.1654
1423898_a_at,Trip12,0.93456724,0.0096
1423899_at,Trip12,0.62541359,-0.0844
1423900_at,Trip12,0.8938785,0.0242
1423901_at,Trip12,0.87194261,-0.0216
1423902_s_at,Arhgef12,0.62920139,0.0494
1423903_at,D7Ertd458e,0.29067282,0.3086
1423904_a_at,D7Ertd458e,0.17260774,0.5012
1423905_at,D7Ertd458e,0.24408044,0.517
1423906_at,Hsbp1,0.59729389,-0.0806
1423907_a_at,Ndufs8,0.78147849,-0.068
1423908_at,Ndufs8,0.91526388,-0.0262
1423909_at,Hca112,0.1882496,-0.2818
1423910_at,Centg3,0.82949082,0.063
1423911_at,Ppp2r5a,0.75005019,0.037
1423912_at,Aspscr1,0.33207707,-0.1742
1423913_at,1700064K09Rik,0.64022073,-0.0562
1423914_at,Dmc1,0.59676268,-0.1034
1423915_at,Olfml2b,0.91872669,-0.0158
1423916_s_at,Mlf2,0.7120372,0.0418
1423917_a_at,Cttn,0.64670037,0.0478
1423918_at,4930418P06Rik,0.79859282,0.0322
1423919_at,BC023882,0.73755274,-0.0764
1423920_at,Brrn1,0.20680348,-0.3596
1423921_at,C77668,0.95455271,-0.0176
1423922_s_at,C77668,0.91837079,0.0126
1423923_a_at,Wdr8,0.77035339,-0.0428
1423924_s_at,Tspan14,0.64182528,0.0938
1423925_at,Dhx16,0.96173765,0.0088
1423926_at,Slc39a13,0.39671687,-0.108
1423927_at,Slc35b1,0.56517444,-0.084
1423928_at,Ubac2,0.99237639,0.0012
1423929_at,Phgdhl1,0.69275417,-0.0442
1423930_at,Anapc4,0.54104847,-0.1056
1423931_s_at,Anapc4,0.26401147,-0.1308
1423932_at,Cugbp1,0.37579366,0.1372
1423933_a_at,Plet1,0.94299368,-0.0156
1423934_at,1600029D21Rik,0.6837044,-0.0736
1423935_x_at,Krt14,0.74448867,0.058
1423936_at,Kctd5,0.37844546,-0.108
1423937_at,Kctd5,0.74245655,0.0518
1423938_at,Llglh2,0.59126042,-0.0868
1423939_a_at,Yif1,0.21751581,-0.2034
1423940_at,Yif1,0.36968052,-0.1446
1423941_at,Camk2g,0.49816143,-0.1016
1423942_a_at,Camk2g,0.50791456,-0.1046
1423943_at,Dus1l,0.55605665,-0.0748
1423944_at,Hpxn,0.65481425,-0.0784
1423945_a_at,Pkig,0.62248066,-0.0638
1423946_at,Pdlim2,0.43123469,0.3278
1423947_at,C9orf16,0.61353495,-0.1218
1423948_at,Bag2,0.97739261,-0.0078
1423949_at,D11Moh35,0.38175474,-0.0958
1423950_at,Kcnab3,0.75500411,0.076
1423951_at,Tm2d3,0.18497821,-0.2812
1423952_a_at,Krt7,0.67221382,0.0544
1423953_at,Cdkal1,0.78465393,0.035
1423954_at,C3,0.9777569,0.007
1423955_a_at,Lass2,0.61955043,0.0986
1423956_at,Smap1,0.92244444,0.0176
1423957_at,2700083B06Rik,0.95482025,-0.0062
1423958_a_at,2900001O04Rik,0.54075483,-0.114
1423959_at,Ropn1l,0.20023148,-0.2056
1423960_at,Mboat5,0.85548226,0.02
1423961_at,Wdr26,0.58341435,0.115
1423962_at,Wdr26,0.63166385,0.0676
1423963_at,Wdr26,0.84244079,-0.0552
1423964_at,2410006F12Rik,0.95713866,0.0064
1423965_at,Cd99l2,0.12525805,-0.2346
1423966_at,Cd99l2,0.99251902,0.0016
1423967_at,Palm,0.60442016,-0.1798
1423968_at,Ugt3a2,0.84957489,0.038
1423969_at,Nup37,0.56898093,-0.0678
1423970_at,Thoc3,0.46124325,-0.0952
1423971_at,Thoc3,0.2350717,-0.202
1423972_at,Etfa,0.79289389,-0.0416
1423973_a_at,Arf3,0.60442484,0.1008
1423974_at,Numa1,0.22692161,-0.2462
1423975_s_at,Numa1,0.14885251,-0.2752
1423976_at,4930453N24Rik,0.73564238,-0.0424
1423977_at,4930453N24Rik,0.76307269,0.069
1423978_at,Sbk1,0.87224676,0.0536
1423979_a_at,Slc25a29,0.80373605,-0.0362
1423980_at,Slc25a29,0.76933596,0.0416
1423981_x_at,Slc25a29,0.95414295,-0.0082
1423982_at,Srsf10,0.33412709,0.1826
1423983_at,Sez6l2,0.86909148,0.045
1423984_a_at,Meis3,0.56212172,-0.1376
1423985_at,Gng5,0.73709276,0.0524
1423986_a_at,Scotin,0.76799112,-0.0386
1423987_at,Cdc26,0.33258714,-0.1466
1423988_at,Ak1,0.3794798,-0.1378
1423989_at,2210010N04Rik,0.86565032,-0.027
1423990_at,Rab28,0.47185144,-0.0908
1423991_at,Nol14,0.35776167,-0.1268
1423992_at,Gatad2a,0.67265607,-0.082
1423993_at,Atp6v1f,0.28538967,-0.1158
1423994_at,Kif1b,0.53783079,0.087
1423995_at,Kif1b,0.092406522,0.407
1423996_a_at,Il4ra,0.55656814,0.1072
1423997_at,Csde1,0.89624171,0.02
1423998_at,Gtf3c5,0.43934134,-0.1132
1423999_at,Abl1,0.82199055,0.0296
1424000_a_at,Rps11,0.10247776,-0.1636
1424001_at,Mki67ip,0.43430341,-0.1574
1424002_at,Pdcl3,0.7690181,0.0514
1424003_at,Sgk196,0.82339232,-0.0332
1424004_x_at,4930444A02Rik,0.759386,-0.0428
1424005_at,C5orf24,0.93957558,-0.0072
1424006_at,Aarsd1,0.53129106,-0.0972
1424007_at,Gdf10,0.09390586,0.3956
1424008_a_at,Rbpms2,0.72807695,-0.0678
1424009_at,Ingaprp,0.70570872,0.0816
1424010_at,Mfap4,0.98518751,-0.0038
1424011_at,Aqp9,0.61495388,-0.0964
1424012_at,4930506L13Rik,0.89263744,0.0264
1424013_at,Etf1,0.59562315,0.0698
1424014_at,2900092E17Rik,0.51821566,-0.1336
1424015_at,Rab6ip1,0.91306974,0.0164
1424016_at,2310007F21Rik,0.53182531,-0.0812
1424017_a_at,Hint1,0.43608769,-0.135
1424018_at,Hint1,0.84250804,-0.0272
1424019_at,Nol1,0.63184375,-0.0584
1424020_at,Arl6ip6,0.66251423,-0.0912
1424021_at,Arl6ip6,0.28426326,-0.228
1424022_at,Osgin1,0.64959981,-0.0686
1424023_at,BC005752,0.73976675,0.0616
1424024_at,Mcfd2,0.48991642,0.0806
1424025_at,BC013529,0.28476769,-0.1148
1424026_s_at,BC013529,0.40211346,-0.1164
1424027_at,Pxn,0.48151007,-0.174
1424028_at,Chtf8,0.90298632,-0.0532
1424029_at,Tspyl4,0.45395078,0.0824
1424030_at,Tcfcp2l2,0.75683738,0.1208
1424031_at,Snx11,0.86560806,-0.0252
1424032_at,0610039P13Rik,0.98996699,-0.0028
1424033_at,Sfrs7,0.82740315,0.0298
1424034_at,Rora,0.79812847,-0.0702
1424035_at,Rora,0.70745538,0.0666
1424036_at,Prpf6,0.69113028,-0.0472
1424037_at,Itpka,0.69677977,0.1346
1424038_a_at,C19orf63,0.88161175,0.0258
1424039_at,Tmem66,0.28294878,0.2932
1424040_at,Rprc1,0.888045,-0.0336
1424041_s_at,C1s,0.67773684,0.0852
1424042_at,Tmem5,0.16835544,-0.1436
1424043_at,Ppil4,0.39364527,0.14
1424044_at,Jmjd2b,0.77675779,-0.0784
1424045_at,5730437N04Rik,0.19372689,-0.3834
1424046_at,Bub1,0.67062527,-0.1088
1424047_at,Dera,0.71021594,-0.0448
1424048_a_at,Nqo3a2,0.62480045,-0.1118
1424049_at,A930011F22Rik,0.62842207,-0.0824
1424050_s_at,Fgfr1,0.99362504,-0.002
1424051_at,Col4a2,0.74033601,-0.0784
1424052_at,Thap4,0.48648149,-0.082
1424053_a_at,Tcf25,0.94863422,-0.0092
1424054_at,Btbd2,0.50944503,-0.1136
1424055_at,Ncoa5,0.64525342,0.0698
1424056_at,2810449C13Rik,0.50037522,-0.0964
1424057_at,Gdap2,0.9396343,-0.0082
1424058_at,1190002C06Rik,0.74029174,-0.044
1424059_at,Suv420h2,0.84441983,0.0328
1424060_at,Neil3,0.8887948,-0.0214
1424061_at,Manbal,0.15583728,-0.297
1424062_at,Ube2d1,0.92964224,-0.0106
1424063_at,Abpa,0.90680547,0.0222
1424064_at,Rab1b,0.64763768,-0.0788
1424065_at,Edem1,0.27107687,0.7084
1424066_at,Dus3l,0.5577007,-0.0928
1424067_at,Icam1,0.72081085,-0.0764
1424068_at,Tcta,0.3579433,-0.1234
1424069_at,Napg,0.98306237,0.0024
1424070_at,Napg,0.442613,0.1596
1424071_s_at,Kiaa0947,0.4607942,-0.1142
1424072_at,2010107G23Rik,0.024408852,-0.2478
1424073_at,Babam1,0.64381723,-0.051
1424074_at,Btf3l4,0.3145382,-0.159
1424075_at,9430016H08Rik,0.50618699,-0.1192
1424076_at,Gdpd1,0.30005441,-0.1232
1424077_at,Gdpd1,0.15647907,0.3304
1424078_s_at,Pex6,0.8478628,0.0514
1424079_x_at,Urm1,0.8909587,-0.0324
1424080_at,Dcps,0.2862494,-0.3342
1424081_at,Pcgf6,0.37970069,-0.1074
1424082_at,Tbc1d13,0.48224805,-0.1168
1424083_at,Rod1,0.61306971,0.1858
1424084_at,Rod1,0.34044159,0.2784
1424085_at,Ndufa4,0.88824467,-0.0156
1424086_at,D9Ucla1,0.77129253,-0.0674
1424087_at,1810042K04Rik,0.20525921,-0.1782
1424088_at,Myg1,0.5555248,0.1936
1424089_a_at,Tcf4,0.3795094,0.2776
1424090_at,Sdcbp2,0.29463068,-0.1446
1424091_at,AI449175,0.36648533,-0.123
1424092_at,Epb4.1,0.5971067,-0.1354
1424093_x_at,Cd151,0.8151586,-0.0358
